clave,sitio,clvrha,rha,estado,municipio,cuenca,cuerpoagua,tipo,subtipo,periodo,dbo,c_dbo,dqo,c_dqo,sst,c_sst,coli_fec,c_coli_fec,e_coli,c_e_coli,od,c_od,tox_d_48,c_tox_d_48,tox_v_15,c_tox_v_15,semaforo,contaminantes,cumple_dbo,cumple_dqo,cumple_sst,cumple_coli_fec,cumple_e_coli,cumple_enteroc,cumple_od,cumple_tox,grupo
"DLDUR719","BIO PAPPEL PACKAGING, S.A. DE C.V. (ANTES EMPAQUES DE CARTON TITAN, S.A. DE C.V. FUSIONANTE DE EMPAQUES DEL NORTE, S.A. DE C.V.) (AGUAS ABAJO)","III","PACÍFICO NORTE","DURANGO","DURANGO","RÍO DURANGO","RIO DURANGO","LÓTICO","DESCARGA","2012-2023","13.8","Aceptable","88.710000000000008","Contaminada","115","Aceptable","8780","Contaminada","200","Contaminada","61.45","Buena calidad","1.04","Toxicidad baja","1.6260162601626","Toxicidad moderada","Rojo","DQO,CF,","","","","","","","","","LOTICO"
"DLDUR721","RIO TEPEHUANES 1","VII","CUENCAS CENTRALES DEL NORTE","DURANGO","TEPEHUANES","RÍO RAMOS","RIO TEPEHUANES","LÓTICO","RÍO","2012-2023","<3","Excelente","14.4","Buena calidad","<25","Excelente","1398.5","Contaminada","41","Contaminada","102.4","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLDUR722","QUEBRADA SAN QUINTIN","III","PACÍFICO NORTE","DURANGO","NOMBRE DE DIOS","RÍO SAN PEDRO-MEZQUITAL","RIO NOMBRE DE DIOS","LÓTICO","RÍO","2012-2023","<3","Excelente","17.600000000000001","Buena calidad","<25","Excelente","1860","Contaminada","75","Contaminada","87.9","Excelente","2.1120000000000001","Toxicidad moderada","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLDUR724","DERIVADORA FRANCISCO VILLA","III","PACÍFICO NORTE","DURANGO","DURANGO","RÍO DURANGO","RIO TUNAL","LÓTICO","RÍO","2012-2023","12.26","Aceptable","53.81","Contaminada","<25","Excelente","2486.5","Contaminada","128.5","Contaminada","96.5","Excelente","<1","No Toxico","<1","No Toxico","Rojo","DQO,CF,","","","","","","","","","LOTICO"
"DLDUR727","ACEQUIA GRANDE","III","PACÍFICO NORTE","DURANGO","DURANGO","RÍO DURANGO","ARROYO ACEQUIA GRANDE","LÓTICO (HUMEDAL)","ARROYO","2012-2023","37.950000000000003","Contaminada","110.17","Contaminada","32.9","Buena calidad","24196","Fuertemente contaminada","24196","Fuertemente contaminada","13.5","Contaminada","1.42","Toxicidad moderada","10.74","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLDUR733","EMBOTELLADORA GUADIANA S.A. DE C.V. (AGUAS ARRIBA)","III","PACÍFICO NORTE","DURANGO","DURANGO","RÍO DURANGO","ARROYO SECO","LÓTICO","DESCARGA","2012-2023","5.62","Buena calidad","41.614999999999995","Contaminada","<25","Excelente","6770","Contaminada","2489","Contaminada","21.3","Contaminada","<1","No Toxico","1.57","Toxicidad moderada","Rojo","DQO,CF,E_COLI,OD%L,","","","","","","","","","LOTICO"
"DLDUR734","EMBOTELLADORA GUADIANA S.A. DE C.V. (AGUAS ABAJO)","III","PACÍFICO NORTE","DURANGO","DURANGO","RÍO DURANGO","ARROYO SECO","LÓTICO","DESCARGA","2012-2023","5.0999999999999996","Buena calidad","44.284999999999997","Contaminada","<25","Excelente","24196","Fuertemente contaminada","4127","Fuertemente contaminada","27.799999999999997","Contaminada","1.44","Toxicidad moderada","3.98","Toxicidad moderada","Rojo","DQO,CF,E_COLI,OD%L,","","","","","","","","","LOTICO"
"DLDUR748","MANANTIAL 27 DE NOVIEMBRE 3","III","PACÍFICO NORTE","DURANGO","DURANGO","RÍO DURANGO","MANANTIAL 27 DE NOVIEMBRE","LÓTICO (HUMEDAL)","RÍO","2012-2023","<3","Excelente","17.3","Buena calidad","55.5","Buena calidad","1539","Contaminada","30","Contaminada","84.7","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLDUR752M1","OJO DE AGUA SUCHIL","III","PACÍFICO NORTE","DURANGO","SÚCHIL","RÍO SUCHIL","MANANTIAL SÚCHIL","LÓTICO","MANANTIAL","2012-2023","<3","Excelente","<10","Excelente","<25","Excelente","410","Aceptable","15","Aceptable","91.7","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLDUR753","MALAGA 4","III","PACÍFICO NORTE","DURANGO","DURANGO","RÍO DURANGO","MANANTIAL ABRAHAM GONZALEZ","LÓTICO (HUMEDAL)","RÍO","2012-2023","<3","Excelente","10.92","Buena calidad","<25","Excelente","909.5","Aceptable","10","Aceptable","124.75","Aceptable","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLDUR768","JOSE MA. PATONI","VII","CUENCAS CENTRALES DEL NORTE","DURANGO","SAN JUAN DEL RÍO","AGUSTÍN MELGAR","RIO SAN JUAN","LÓTICO","RÍO","2012-2023","<3","Excelente","10.37","Buena calidad","<25","Excelente","1497","Contaminada","86","Contaminada","104.9","Excelente","<1","No Toxico","1.49","Toxicidad moderada","Amarillo","CF,","","","","","","","","","LOTICO"
"DLDUR773M1","PUENTE LOS ÍDOLOS","VII","CUENCAS CENTRALES DEL NORTE","DURANGO","GUANACEVÍ","RÍO SEXTÍN","ARROYO GUANACEVÍ","LÓTICO","ARROYO","2012-2023","<3","Excelente","<10","Excelente","47.5","Buena calidad","8164","Contaminada","1989","Contaminada","105.6","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,E_COLI,","","","","","","","","","LOTICO"
"DLDUR786","SANTA TERESA DEL PACHON","VII","CUENCAS CENTRALES DEL NORTE","DURANGO","SANTIAGO PAPASQUIARO","RÍO RAMOS","RIO SANTIAGO","LÓTICO","RÍO","2012-2023","<3","Excelente","10.220000000000001","Buena calidad","<25","Excelente","785","Aceptable","31","Aceptable","94.3","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLDUR794","RIO MEZQUITAL","III","PACÍFICO NORTE","DURANGO","MEZQUITAL","RÍO SAN PEDRO-MEZQUITAL","RIO MEZQUITAL","LÓTICO","RÍO","2012-2023","<3","Excelente","27.324999999999999","Aceptable","30.75","Buena calidad","8936","Contaminada","2700","Contaminada","97.85","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,E_COLI,","","","","","","","","","LOTICO"
"DLDUR848","PUENTE RIO FLORIDO","VII","CUENCAS CENTRALES DEL NORTE","DURANGO","OCAMPO","RÍO FLORIDO 2","RIO FLORIDO","LÓTICO (HUMEDAL)","RÍO","2012-2023","<3","Excelente","12.149999999999999","Buena calidad","<25","Excelente","2695","Contaminada","376.5","Contaminada","92.6","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLEST853","CRUZ DE LA MISION","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","LERMA","RÍO LERMA 1","CANAL","LÓTICO","CANAL","2012-2023","<3","Excelente","12.530000000000001","Buena calidad","<25","Excelente","<3","Excelente","<3","Excelente","62.2","Buena calidad","3.593","Toxicidad moderada","3.63","Toxicidad moderada","Verde","","","","","","","","","","LOTICO"
"DLEST855","RIO LERMA 2","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","LERMA","RÍO LERMA 1","RIO LERMA","LÓTICO A - TIPO 9","RÍO","2012-2023","73.400000000000006","Contaminada","283.02999999999997","Fuertemente contaminada","48","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","17.7","Contaminada","4.2809999999999997","Toxicidad moderada","18.670000000000002","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST856","TOLUCA ORIENTE  (A) AGUAS ARRIBA","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","LERMA","RÍO LERMA 1","CANAL TOTOLTEPEC","LÓTICO A - TIPO 9","CANAL","2012-2023","130.21","Fuertemente contaminada","420.95","Fuertemente contaminada","70","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","15.1","Contaminada","71.428571428571402","Toxicidad alta","39.020000000000003","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST857","TOLUCA ORIENTE  (A) AGUAS ABAJO","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","LERMA","RÍO LERMA 1","CANAL TOTOLTEPEC","LÓTICO A - TIPO 9","CANAL","2012-2023","118.21","Contaminada","392.78","Fuertemente contaminada","90","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","19.795000000000002","Contaminada","11.125999999999999","Toxicidad alta","12.76","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST858","PUENTE CARRETERA TOLUCA-NAUCALPAN","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","XONACATLÁN","RÍO LERMA 1","RIO LERMA","LÓTICO (HUMEDAL)","RÍO","2012-2023","97.355000000000004","Contaminada","331.125","Fuertemente contaminada","69","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","13.515000000000001","Contaminada","10.15","Toxicidad alta","23.574000000000002","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST859","TOLUCA NORTE  (A) AGUAS ARRIBA","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TOLUCA","RÍO LERMA 1","RIO VERDIGUEL","LÓTICO A - TIPO 9","RÍO","2012-2023","124.22","Fuertemente contaminada","382.49","Fuertemente contaminada","105","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","16.3","Contaminada","4.55","Toxicidad moderada","15.76","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST861","TOLUCA NORTE  (A) AGUAS ABAJO","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TOLUCA","RÍO LERMA 1","RIO VERDIGUEL","LÓTICO A - TIPO 9","CANAL","2012-2023","25.14","Aceptable","90.38","Contaminada","28","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","31.8","Aceptable","1.61","Toxicidad moderada","6.37","Toxicidad alta","Rojo","DQO,CF,E_COLI,TOX_L,","","","","","","","","","LOTICO"
"DLEST862","PUENTE CARRETERA TOLUCA-TEMOAYA","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TEMOAYA","RÍO LERMA 1","RIO LERMA","LÓTICO A - TIPO 9","RÍO","2012-2023","68.069999999999993","Contaminada","228.99","Fuertemente contaminada","75","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","15.8","Contaminada","1.7270000000000001","Toxicidad moderada","15.997","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST863","RIO LERMA 54","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TEMOAYA","RÍO LERMA 1","RIO LERMA","LÓTICO","RÍO","2012-2023","62.72","Contaminada","220.45","Fuertemente contaminada","75","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","16.5","Contaminada","2.54","Toxicidad moderada","26.67","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST864","RIO LERMA 4","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TEMOAYA","RÍO LERMA 1","RIO LERMA","LÓTICO","RÍO","2012-2023","59","Contaminada","239.24","Fuertemente contaminada","69","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","13.899999999999999","Contaminada","7.6335877862595396","Toxicidad alta","209.03","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST865","RH12-1 LERMA","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TEMOAYA","RÍO LERMA 1","RIO LERMA","LÓTICO","RÍO","2012-2023","13.8","Aceptable","44.575000000000003","Contaminada","40","Buena calidad","11000","Fuertemente contaminada","11000","Fuertemente contaminada","61.8","Buena calidad","2.42","Toxicidad moderada","<1","No Toxico","Rojo","DQO,CF,E_COLI,","","","","","","","","","LOTICO"
"DLEST866","RIO LERMA 43","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TOLUCA","RÍO LERMA 1","RIO LERMA","LÓTICO (HUMEDAL)","RÍO","2012-2023","73.865000000000009","Contaminada","239.86500000000001","Fuertemente contaminada","85","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","20.2","Contaminada","4.4843049327354301","Toxicidad moderada","38.6","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST867","RIO LERMA 3","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TEMOAYA","RÍO LERMA 2","RIO LERMA","LÓTICO","RÍO","2012-2023","61.795000000000002","Contaminada","192.52500000000001","Contaminada","82","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","29.2","Contaminada","9.0139999999999993","Toxicidad alta","16.062000000000001","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST868","PUENTE CARRETERA TOLUCA-PALMILLAS (CO. PE. J.AGUAS ARRIBA)","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","ALMOLOYA DE JUÁREZ","RÍO LERMA 2","RIO LERMA","LÓTICO","RÍO","2012-2023","17.5","Aceptable","123.67","Contaminada","52","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","61.4","Buena calidad","<1","No Toxico","6.82","Toxicidad alta","Rojo","DQO,CF,E_COLI,TOX_L,","","","","","","","","","LOTICO"
"DLEST868M1","PUENTE CARRETERA TOLUCA-PALMILLAS (CORTINA PRESA JOSE ANTONIO ALZATE AGUAS ABAJO)","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","ALMOLOYA DE JUÁREZ","RÍO LERMA 2","RIO LERMA","LÓTICO","RÍO","2012-2023","88.509999999999991","Contaminada","219.02499999999998","Fuertemente contaminada","74","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","16.100000000000001","Contaminada","10.385999999999999","Toxicidad alta","12.375999999999999","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST872","RIO LERMA 67","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","IXTLAHUACA","RÍO LERMA 2","RIO LERMA","LÓTICO","RÍO","2012-2023","38.46","Contaminada","140.27000000000001","Contaminada","71","Buena calidad","24000","Fuertemente contaminada","24000","Fuertemente contaminada","12.45","Contaminada","6.0670000000000002","Toxicidad alta","7.83","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST873","RIO LERMA 65","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","IXTLAHUACA","RÍO LERMA 2","RIO LERMA","LÓTICO","RÍO","2012-2023","41.395000000000003","Contaminada","128.36500000000001","Contaminada","80","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","21.8","Contaminada","1.66","Toxicidad moderada","11.055999999999999","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST874","IXTLAHUACA (RANCHO DE GANADO LECHERO)","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","IXTLAHUACA","RÍO LERMA 2","RIO LERMA","LÓTICO A - TIPO 9","RÍO","2012-2023","46.355000000000004","Contaminada","162.54000000000002","Contaminada","84","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","15.12","Contaminada","4.5010000000000003","Toxicidad moderada","12.209","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST875","RIO LERMA 5","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","IXTLAHUACA","RÍO LERMA 2","RIO LERMA","LÓTICO (HUMEDAL)","RÍO","2012-2023","46.41","Contaminada","147.47","Contaminada","108","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","22.3","Contaminada","1.1599999999999999","Toxicidad baja","11.68","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST876","RIO LERMA 68","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","IXTLAHUACA","RÍO LERMA 2","RIO LERMA","LÓTICO (HUMEDAL)","RÍO","2012-2023","46.51","Contaminada","124","Contaminada","112","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","20.240000000000002","Contaminada","1.39","Toxicidad moderada","9.1579999999999995","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST878","RIO LERMA 6","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","IXTLAHUACA","RÍO LERMA 2","RIO LERMA","LÓTICO (HUMEDAL)","RÍO","2012-2023","34.36","Contaminada","134.04500000000002","Contaminada","94","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","36.479999999999997","Aceptable","<1","No Toxico","7.39","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,TOX_L,","","","","","","","","","LOTICO"
"DLEST879","RIO LERMA 69","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","IXTLAHUACA","RÍO LERMA 2","RIO LERMA","LÓTICO (HUMEDAL)","RÍO","2012-2023","32.76","Contaminada","125.77499999999999","Contaminada","96","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","26.25","Contaminada","<1","No Toxico","7.41","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST880","RIO LERMA 7","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","IXTLAHUACA","RÍO LERMA 2","RIO LERMA","LÓTICO (HUMEDAL)","RÍO","2012-2023","31.2","Contaminada","134.79500000000002","Contaminada","85","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","30.7","Aceptable","<1","No Toxico","7.96","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,TOX_L,","","","","","","","","","LOTICO"
"DLEST882","ATLACOMULCO","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","ATLACOMULCO","RÍO LERMA 2","RIO LERMA","LÓTICO A - TIPO 9","RÍO","2012-2023","31.2","Contaminada","122.92","Contaminada","80","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","25.55","Contaminada","<1","No Toxico","3.27","Toxicidad moderada","Rojo","DBO,DQO,CF,E_COLI,OD%L,","","","","","","","","","LOTICO"
"DLEST888","RIO EL SALTO","IV","BALSAS","MÉXICO","VILLA VICTORIA","RÍO CUTZAMALA","RIO EL SALTO","LÓTICO","RÍO","2012-2023","3.84","Buena calidad","21.65","Aceptable","<25","Excelente","930","Aceptable","930","Aceptable","61.7","Buena calidad","<1","No Toxico","1.7271157167530224","Toxicidad moderada","Amarillo","E_COLI,","","","","","","","","","LOTICO"
"DLEST892","RIO LA COMPAÑIA","IV","BALSAS","MÉXICO","VILLA VICTORIA","RÍO CUTZAMALA","RIO LA COMPAÑIA","LÓTICO","RÍO","2012-2023","4","Buena calidad","21.810000000000002","Aceptable","<25","Excelente","430","Aceptable","430","Aceptable","65.599999999999994","Buena calidad","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLEST894","RIO GRANDE-TEMASCALTEPEC","IV","BALSAS","MÉXICO","TEMASCALTEPEC","RÍO CUTZAMALA","CANAL","LÓTICO","CANAL","2012-2023","4.9800000000000004","Buena calidad","20.38","Aceptable","<25","Excelente","160","Buena calidad","390","Buena calidad","71.44","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLEST895","EFLUENTE PP LOS BERROS (TAC)","IV","BALSAS","MÉXICO","VILLA DE ALLENDE","RÍO CUTZAMALA","CANAL EFLUENTE PP LOS BERROS (TAC)","LÓTICO","CANAL","2012-2023","4.4000000000000004","Buena calidad","28.22","Aceptable","<25","Excelente","230","Aceptable","230","Aceptable","62.8","Buena calidad","<1","No Toxico","2.8","Toxicidad moderada","Verde","","","","","","","","","","LOTICO"
"DLEST896","CANAL DONATO GUERRA","IV","BALSAS","MÉXICO","DONATO GUERRA","RÍO CUTZAMALA","CANAL DONATO GUERRA","LÓTICO","CANAL","2012-2023","4.63","Buena calidad","16.670000000000002","Buena calidad","<25","Excelente","1500","Contaminada","1500","Contaminada","65.900000000000006","Buena calidad","<1","No Toxico","<1","No Toxico","Amarillo","CF,E_COLI,","","","","","","","","","LOTICO"
"DLEST897","INFLUENTE DE LA PRESA VALLE DE BRAVO","IV","BALSAS","MÉXICO","VALLE DE BRAVO","RÍO CUTZAMALA","RIO AMANALCO","LÓTICO","RÍO","2012-2023","<3","Excelente","13.41","Buena calidad","26","Buena calidad","3448","Contaminada","430","Contaminada","94","Excelente","<1","No Toxico","2.86","Toxicidad moderada","Amarillo","CF,","","","","","","","","","LOTICO"
"DLEST898","SALIDA MANIANTAL AGUA ESCONDIDA EN CANAL HECTOR MARTINEZ DE MEZA","IV","BALSAS","MÉXICO","DONATO GUERRA","RÍO CUTZAMALA","CANAL HECTOR MARTINEZ DE MEZA","LÓTICO","CANAL","2012-2023","3.1349999999999998","Buena calidad","12.925000000000001","Buena calidad","<25","Excelente","80","Excelente","90","Excelente","63.9","Buena calidad","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLEST900","RIO TIZATES","IV","BALSAS","MÉXICO","VALLE DE BRAVO","RÍO CUTZAMALA","RIO TIZATES","LÓTICO","RÍO","2012-2023","5.4","Buena calidad","39.840000000000003","Aceptable","52","Buena calidad","<3","Excelente","<3","Excelente","","","","","","","Verde","","","","","","","","","","LOTICO"
"DLEST900M1","RIO TIZATES","IV","BALSAS","MÉXICO","VALLE DE BRAVO","RÍO CUTZAMALA","RIO TIZATES","LÓTICO","RIO","2012-2023","8.5","Aceptable","44.51","Contaminada","<25","Excelente","24000","Fuertemente contaminada","4600","Fuertemente contaminada","45.7","Aceptable","<1","No Toxico","4.4228217602830604","Toxicidad moderada","Rojo","DQO,CF,E_COLI,","","","","","","","","","LOTICO"
"DLEST902","RIO CHIQUITO EL MOLINO","IV","BALSAS","MÉXICO","VALLE DE BRAVO","RÍO CUTZAMALA","RIO EL MOLINO","LÓTICO","RÍO","2012-2023","<3","Excelente","10.95","Buena calidad","<25","Excelente","988","Aceptable","110","Aceptable","86.45","Excelente","<1","No Toxico","<1","No Toxico","Verde","","","","","","","","","","LOTICO"
"DLEST908","CANAL RIO MALACATEPEC-(DURAZNOS)","IV","BALSAS","MÉXICO","VALLE DE BRAVO","RÍO CUTZAMALA","CANAL INFLUENTE PRESA COLORINES","LÓTICO","CANAL","2012-2023","<3","Excelente","15.91","Buena calidad","<25","Excelente","21965","Fuertemente contaminada","230","Fuertemente contaminada","90.35","Excelente","<1","No Toxico","4.54","Toxicidad moderada","Amarillo","CF,","","","","","","","","","LOTICO"
"DLEST909","INFLUENTE PRESA EL BOSQUE A COLORINES","IV","BALSAS","MÉXICO","VALLE DE BRAVO","RÍO CUTZAMALA","CANAL INFLUENTE PRESA COLORINES","LÓTICO","CANAL","2012-2023","<3","Excelente","13.68","Buena calidad","<25","Excelente","8164","Contaminada","320","Contaminada","97.9","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,","","","","","","","","","LOTICO"
"DLEST910","PUENTE RIO AMANALCO DE BECERRA","IV","BALSAS","MÉXICO","AMANALCO","RÍO CUTZAMALA","RIO AMANALCO","LÓTICO","RÍO","2012-2023","4.2","Buena calidad","18.239999999999998","Buena calidad","<25","Excelente","1200","Contaminada","1200","Contaminada","72.3","Excelente","<1","No Toxico","1.19","Toxicidad baja","Amarillo","CF,E_COLI,","","","","","","","","","LOTICO"
"DLEST911","PUENTE TEMASCALTEPEC","IV","BALSAS","MÉXICO","TEMASCALTEPEC","RÍO CUTZAMALA","RIO TEMASCALTEPEC","LÓTICO","RÍO","2012-2023","<3","Excelente","17.32","Buena calidad","27","Buena calidad","8664","Contaminada","1500","Contaminada","97.45","Excelente","<1","No Toxico","<1","No Toxico","Amarillo","CF,E_COLI,","","","","","","","","","LOTICO"
"DLEST914","INDUSTRIA EMBOTELLADORA DE MEXICO, S.A. DE C.V. (AGUAS ARRIBA)","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TOLUCA","RÍO LERMA 1","CANAL TOTOLTEPEC","LÓTICO","DESCARGA","2012-2023","236.60500000000002","Fuertemente contaminada","633.74","Fuertemente contaminada","88","Aceptable","24000","Fuertemente contaminada","24000","Fuertemente contaminada","18.239999999999998","Contaminada","7.21","Toxicidad alta","20.3","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST915","INDUSTRIA EMBOTELLADORA DE MEXICO, S.A. DE C.V.(AGUAS ABAJO)","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TOLUCA","RÍO LERMA 1","CANAL TOTOLTEPEC","LÓTICO","DESCARGA","2012-2023","47.03","Contaminada","202.47","Fuertemente contaminada","44","Buena calidad","280","Aceptable","280","Aceptable","68.734999999999999","Buena calidad","1.17","Toxicidad baja","<1","No Toxico","Rojo","DBO,DQO,","","","","","","","","","LOTICO"
"DLEST915M1","INDUSTRIA EMBOTELLADORA DE MEXICO, S.A. DE C.V (AGUAS ABAJO)","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TOLUCA","RÍO LERMA 1","CANAL TOTOLTEPEC","LÓTICO","DESCARGA","2012-2023","600.6","Fuertemente contaminada","1052.04","Fuertemente contaminada","310","Contaminada","24000","Fuertemente contaminada","24000","Fuertemente contaminada","<10","Fuertemente contaminada","9.0419999999999998","Toxicidad alta","24.863","Toxicidad alta","Rojo","DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST922","ARROYO MEZAPA","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TIANGUISTENCO","RÍO LERMA 1","ARROYO MEZAPA","LÓTICO","ARROYO","2012-2023","91.115000000000009","Contaminada","236.95","Fuertemente contaminada","83","Aceptable","24000","Fuertemente contaminada","7800","Fuertemente contaminada","10","Fuertemente contaminada","15.29","Toxicidad alta","20.75","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
"DLEST923","RIO LERMA 1","VIII","LERMA-SANTIAGO-PACÍFICO","MÉXICO","TIANGUISTENCO","RÍO LERMA 1","RIO LERMA","LÓTICO A - TIPO 9","RÍO","2012-2023","117.4","Contaminada","250.625","Fuertemente contaminada","66","Buena calidad","24000","Fuertemente contaminada","14300","Fuertemente contaminada","10","Fuertemente contaminada","3.57","Toxicidad moderada","28.652999999999999","Toxicidad alta","Rojo","DBO,DQO,CF,E_COLI,OD%L,TOX_L,","","","","","","","","","LOTICO"
